candidate_id,split,position,bucket,n_per_season,candidate_predicted_count,actual_bucket_count,true_positive_count,precision,recall,f1,baseline_precision,baseline_recall,baseline_f1,rb_wr_precision,rb_wr_recall,rb_wr_f1,precision_delta_vs_baseline,precision_delta_vs_rb_wr_cutline_safe,recall_delta_vs_baseline,recall_delta_vs_rb_wr_cutline_safe,f1_delta_vs_baseline,f1_delta_vs_rb_wr_cutline_safe,material_regression_vs_baseline
conservative_blend_50,validation,TE,TE_TOP12,12,24,23,14,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.0,0.0,0.0,0.0,0.0,0.0,False
current_best_rb_wr_cutline_safe_blend,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
current_best_rb_wr_cutline_safe_blend,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
current_best_rb_wr_cutline_safe_blend,validation,RB,RB_TOP24,24,48,43,26,0.541667,0.604651,0.571429,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,-0.020833,0.0,-0.023256,0.0,-0.021978,0.0,True
current_best_rb_wr_cutline_safe_blend,validation,WR,WR_TOP12,12,24,23,9,0.375,0.391304,0.382979,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,-0.041667,0.0,-0.043479,0.0,-0.042553,0.0,True
current_best_rb_wr_cutline_safe_blend,validation,WR,WR_TOP24,24,48,42,31,0.645833,0.738095,0.688889,0.625,0.714286,0.666667,0.645833,0.738095,0.688889,0.020833,0.0,0.023809,0.0,0.022222,0.0,False
current_best_rb_wr_cutline_safe_blend,validation,WR,WR_TOP36,36,72,61,47,0.652778,0.770492,0.706767,0.652778,0.770492,0.706767,0.652778,0.770492,0.706767,0.0,0.0,0.0,0.0,0.0,0.0,False
current_best_rb_wr_cutline_safe_blend,validation,TE,TE_TOP12,12,24,23,14,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.0,0.0,0.0,0.0,0.0,0.0,False
premium_cutline_floor_v1,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
premium_cutline_floor_v1,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
premium_cutline_floor_v1,validation,RB,RB_TOP24,24,48,43,27,0.5625,0.627907,0.593407,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,0.0,0.020833,0.0,0.023256,0.0,0.021978,False
premium_cutline_floor_v1,validation,WR,WR_TOP12,12,24,23,10,0.416667,0.434783,0.425532,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,0.0,0.041667,0.0,0.043479,0.0,0.042553,False
premium_cutline_floor_v1,validation,WR,WR_TOP24,24,48,42,30,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.645833,0.738095,0.688889,0.0,-0.020833,0.0,-0.023809,0.0,-0.022222,False
premium_cutline_floor_v1,validation,WR,WR_TOP36,36,72,61,48,0.666667,0.786885,0.721805,0.652778,0.770492,0.706767,0.652778,0.770492,0.706767,0.013889,0.013889,0.016393,0.016393,0.015038,0.015038,False
premium_cutline_floor_v1,validation,TE,TE_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,-0.041666,-0.041666,-0.043479,-0.043479,-0.042554,-0.042554,True
premium_cutline_floor_v2_tighter,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
premium_cutline_floor_v2_tighter,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
premium_cutline_floor_v2_tighter,validation,RB,RB_TOP24,24,48,43,27,0.5625,0.627907,0.593407,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,0.0,0.020833,0.0,0.023256,0.0,0.021978,False
premium_cutline_floor_v2_tighter,validation,WR,WR_TOP12,12,24,23,10,0.416667,0.434783,0.425532,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,0.0,0.041667,0.0,0.043479,0.0,0.042553,False
premium_cutline_floor_v2_tighter,validation,WR,WR_TOP24,24,48,42,30,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.645833,0.738095,0.688889,0.0,-0.020833,0.0,-0.023809,0.0,-0.022222,False
premium_cutline_floor_v2_tighter,validation,WR,WR_TOP36,36,72,61,48,0.666667,0.786885,0.721805,0.652778,0.770492,0.706767,0.652778,0.770492,0.706767,0.013889,0.013889,0.016393,0.016393,0.015038,0.015038,False
premium_cutline_floor_v2_tighter,validation,TE,TE_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,-0.041666,-0.041666,-0.043479,-0.043479,-0.042554,-0.042554,True
high_prior_volume_boundary_guard,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
high_prior_volume_boundary_guard,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
high_prior_volume_boundary_guard,validation,RB,RB_TOP24,24,48,43,26,0.541667,0.604651,0.571429,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,-0.020833,0.0,-0.023256,0.0,-0.021978,0.0,True
high_prior_volume_boundary_guard,validation,WR,WR_TOP12,12,24,23,10,0.416667,0.434783,0.425532,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,0.0,0.041667,0.0,0.043479,0.0,0.042553,False
high_prior_volume_boundary_guard,validation,WR,WR_TOP24,24,48,42,30,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.645833,0.738095,0.688889,0.0,-0.020833,0.0,-0.023809,0.0,-0.022222,False
high_prior_volume_boundary_guard,validation,WR,WR_TOP36,36,72,61,48,0.666667,0.786885,0.721805,0.652778,0.770492,0.706767,0.652778,0.770492,0.706767,0.013889,0.013889,0.016393,0.016393,0.015038,0.015038,False
high_prior_volume_boundary_guard,validation,TE,TE_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,-0.041666,-0.041666,-0.043479,-0.043479,-0.042554,-0.042554,True
wr_boundary_breakout_sensitivity_guard,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
wr_boundary_breakout_sensitivity_guard,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
wr_boundary_breakout_sensitivity_guard,validation,RB,RB_TOP24,24,48,43,26,0.541667,0.604651,0.571429,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,-0.020833,0.0,-0.023256,0.0,-0.021978,0.0,True
wr_boundary_breakout_sensitivity_guard,validation,WR,WR_TOP12,12,24,23,9,0.375,0.391304,0.382979,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,-0.041667,0.0,-0.043479,0.0,-0.042553,0.0,True
wr_boundary_breakout_sensitivity_guard,validation,WR,WR_TOP24,24,48,42,30,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.645833,0.738095,0.688889,0.0,-0.020833,0.0,-0.023809,0.0,-0.022222,False
wr_boundary_breakout_sensitivity_guard,validation,WR,WR_TOP36,36,72,61,48,0.666667,0.786885,0.721805,0.652778,0.770492,0.706767,0.652778,0.770492,0.706767,0.013889,0.013889,0.016393,0.016393,0.015038,0.015038,False
wr_boundary_breakout_sensitivity_guard,validation,TE,TE_TOP12,12,24,23,14,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,0.0,0.0,0.0,0.0,0.0,0.0,False
hybrid_qb_plus_premium_cutline_guard,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
hybrid_qb_plus_premium_cutline_guard,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
hybrid_qb_plus_premium_cutline_guard,validation,RB,RB_TOP24,24,48,43,27,0.5625,0.627907,0.593407,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,0.0,0.020833,0.0,0.023256,0.0,0.021978,False
hybrid_qb_plus_premium_cutline_guard,validation,WR,WR_TOP12,12,24,23,10,0.416667,0.434783,0.425532,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,0.0,0.041667,0.0,0.043479,0.0,0.042553,False
hybrid_qb_plus_premium_cutline_guard,validation,WR,WR_TOP24,24,48,42,30,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.645833,0.738095,0.688889,0.0,-0.020833,0.0,-0.023809,0.0,-0.022222,False
hybrid_qb_plus_premium_cutline_guard,validation,WR,WR_TOP36,36,72,61,48,0.666667,0.786885,0.721805,0.652778,0.770492,0.706767,0.652778,0.770492,0.706767,0.013889,0.013889,0.016393,0.016393,0.015038,0.015038,False
hybrid_qb_plus_premium_cutline_guard,validation,TE,TE_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,-0.041666,-0.041666,-0.043479,-0.043479,-0.042554,-0.042554,True
conservative_human_review_variant,validation,QB,QB_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.541667,0.565217,0.553191,0.0,0.0,0.0,0.0,0.0,0.0,False
conservative_human_review_variant,validation,RB,RB_TOP12,12,24,22,5,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.208333,0.227273,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,False
conservative_human_review_variant,validation,RB,RB_TOP24,24,48,43,27,0.5625,0.627907,0.593407,0.5625,0.627907,0.593407,0.541667,0.604651,0.571429,0.0,0.020833,0.0,0.023256,0.0,0.021978,False
conservative_human_review_variant,validation,WR,WR_TOP12,12,24,23,10,0.416667,0.434783,0.425532,0.416667,0.434783,0.425532,0.375,0.391304,0.382979,0.0,0.041667,0.0,0.043479,0.0,0.042553,False
conservative_human_review_variant,validation,WR,WR_TOP24,24,48,42,30,0.625,0.714286,0.666667,0.625,0.714286,0.666667,0.645833,0.738095,0.688889,0.0,-0.020833,0.0,-0.023809,0.0,-0.022222,False
conservative_human_review_variant,validation,WR,WR_TOP36,36,72,61,48,0.666667,0.786885,0.721805,0.652778,0.770492,0.706767,0.652778,0.770492,0.706767,0.013889,0.013889,0.016393,0.016393,0.015038,0.015038,False
conservative_human_review_variant,validation,TE,TE_TOP12,12,24,23,13,0.541667,0.565217,0.553191,0.583333,0.608696,0.595745,0.583333,0.608696,0.595745,-0.041666,-0.041666,-0.043479,-0.043479,-0.042554,-0.042554,True
baseline_v3_prior_points,holdout,QB,QB_TOP12,12,24,22,13,0.541667,0.590909,0.565217,0.541667,0.590909,0.565217,0.541667,0.590909,0.565217,0.0,0.0,0.0,0.0,0.0,0.0,False
